tstamp,temp,hum,light,co,no2,noise
20170126053000,18.91,21.57,0,1.17,162.02,50
20170126054500,18.84,21.59,0,1.17,162.32,50
20170126060000,18.80,21.47,0,1.17,162.33,50
20170126061500,18.68,21.42,0,1.17,162.43,50
20170126063000,18.65,21.26,0,1.17,162.53,50
20170126064500,18.59,21.16,0,1.17,162.79,50
20170126070000,18.49,21.11,1.28,1.17,163.04,50
20170126071500,18.69,20.66,3.19,1.17,163.84,60.53
20170126073000,18.93,20.54,3.20,1.17,164.29,67.98
20170126074500,18.92,20.66,3.15,1.17,164.82,70.77
20170126080000,19.44,20.21,3.11,1.17,163.29,66.30
20170126081500,19.87,20.02,2.91,1.17,162.24,52.16
20170126083000,20.10,20.06,2.95,1.17,163.43,50
20170126084500,20.49,19.78,2.98,1.17,163.45,50
20170126090000,20.64,19.75,3.18,1.17,163.80,50
20170126091500,20.41,20.40,3.21,1.17,163.83,50
20170126093000,20.41,20.89,3.31,1.17,164.13,55.74
20170126094500,21.29,20.04,3.33,1.17,164.61,50.89
20170126100000,21.67,19.89,3.31,1.17,164.45,52.93
20170126101500,22.05,19.68,3.44,1.17,164.06,59.91
20170126103000,21.85,20.11,3.54,1.17,165.44,55.77
20170126104500,22.09,20.24,3.43,1.17,164.71,56.70
20170126110000,21.63,21.08,3.63,1.17,164.48,60.05
20170126111500,21.98,20.81,3.69,1.17,165.59,54.04
20170126113000,22.52,20.57,3.71,1.17,164.83,50.70
20170126114500,22.54,21.15,3.65,1.17,164.74,53.83
20170126120000,22.69,20.97,3.80,1.17,164.15,53.80
20170126121500,22.92,21.25,3.75,1.17,164.24,53.15
20170126123000,22.42,21.76,4.26,1.17,165.46,54.28
20170126124500,22.86,21.57,4.74,1.17,164.79,50
20170126130000,22.93,21.61,4.05,1.17,163.58,50
20170126131500,22.90,21.77,5.63,1.17,164.94,50
20170126133000,22.99,21.79,4.44,1.17,164.34,50
20170126134500,23.07,21.87,3.89,1.17,165.44,50
20170126140000,22.92,22.03,3.93,1.17,164.75,50.65
20170126141500,22.79,22.23,3.84,1.17,165.40,50
20170126143000,22.73,22.36,4.85,1.17,165.15,50
20170126144500,22.83,22.32,6.63,1.17,164.13,50
20170126150000,23.08,22.29,6.18,1.17,165.80,50
20170126151500,22.95,22.84,6.07,1.17,165.14,50.65
20170126153000,23.07,22.95,4.15,1.17,165.55,50.20
20170126154500,23.36,22.59,3.57,1.17,165.70,51.45
20170126160000,23.10,22.90,3.62,1.17,166.28,50
20170126161500,23.37,22.77,3.41,1.17,166.90,50.44
20170126163000,23.09,23.01,3.37,1.17,167.83,50
20170126164500,23.16,23.23,3.28,1.17,167.41,50.20
20170126170000,22.93,23.70,3.26,1.17,166.63,50
20170126171500,23.45,23.42,3.21,1.17,166.42,52.97
20170126173000,23.25,23.63,3.21,1.17,165.81,50.20
20170126174500,23.34,23.67,3.06,1.17,166.23,50
20170130093000,19.61,40.78,3.20,1.17,50.96,54.62
20170130094500,19.49,41.29,3.26,1.17,103.72,52.48
20170130100000,19.43,41.50,3.34,1.17,123.26,50
20170130101500,19.45,41.60,3.37,1.17,132.38,54.23
20170130103000,19.46,41.69,3.56,1.17,137.58,50
20170213123000,23.18,37.37,4.18,1.17,42.28,52.02
20170213124500,22.93,37.99,5.76,1.17,83.37,51.09
20170213130000,22.81,38.25,5.86,1.17,109.49,54.63
20170213131500,23.11,38,5.05,1.17,119.06,53.09
20170213133000,23.95,36.42,7.09,1.17,124.60,51.66
20170213134500,23.92,36.33,6.29,1.17,128.50,51.30
20170213140000,24.02,36.25,4.61,1.17,130.60,52.86
20170213141500,24.06,36.12,6.41,1.17,133.88,57.47
20170213143000,24.10,35.79,6.75,1.17,135.66,55.78
20170213144500,24.24,35.39,6.07,1.17,134.91,63.57
20170213150000,24.19,35.83,5.44,1.17,134.64,56.18
20170213151500,23.97,36.91,5.93,1.17,138.38,53.04
20170213153000,23.92,37.02,5.32,1.17,140.15,52
20170213154500,23.69,37.31,4.09,1.17,140.86,57.41
20170213160000,23.77,36.73,3.61,1.17,141.23,54.37
20170213161500,23.33,37.50,3.75,1.17,141.93,50.55
20170213163000,23.18,37.74,3.67,1.17,142.19,50
20170213164500,23.31,37.47,3.63,1.17,142.68,57.33
20170213170000,23.47,36.83,3.43,1.17,143.97,58.78
20170213171500,23.31,36.91,3.42,1.17,144.64,51.23
20170213173000,23.03,37.17,3.31,1.17,145.78,52.08
20170213174500,23.31,36.79,3.27,1.17,147.54,54.05
20170213180000,23.12,36.52,3.21,1.17,146.61,52.17
20170213181500,22.91,36.64,3.10,1.17,147,50.21
20170213183000,22.87,36.54,3.09,1.17,147.45,51.51
20170213184500,23.01,36.44,2.96,1.17,149.17,52.17
20170213190000,22.73,36.03,3,1.17,148.62,50
